34001,"Atlantic County, New Jersey",3137
34003,"Bergen County, New Jersey",9141
34005,"Burlington County, New Jersey",3954
34007,"Camden County, New Jersey",6544
34009,"Cape May County, New Jersey",753
34011,"Cumberland County, New Jersey",1690
34013,"Essex County, New Jersey",10314
34015,"Gloucester County, New Jersey",3055
34017,"Hudson County, New Jersey",9527
34019,"Hunterdon County, New Jersey",1053
34021,"Mercer County, New Jersey",3218
34023,"Middlesex County, New Jersey",9071
34025,"Monmouth County, New Jersey",5822
34027,"Morris County, New Jersey",4884
34029,"Ocean County, New Jersey",8576
34031,"Passaic County, New Jersey",5475
34033,"Salem County, New Jersey",660
34035,"Somerset County, New Jersey",2993
34037,"Sussex County, New Jersey",1484
34039,"Union County, New Jersey",7297
34041,"Warren County, New Jersey",1090
